asst,sst,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,LangRO,JinRO,runoff
282.677551,282.677551,8.95E-07,9.18,14.49,3.78,5.01,5.75,17.625,21.9375,111.875,160.71875,356.34375,356.8125,435.125,475.59375
284.818237,284.818237,1.67E-06,11.34,16.81,3.61,6.29,5.71875,17.59375,22,110.28125,160.34375,356.625,358.34375,436.28125,477.9375
284.926788,284.926788,1.15E-06,12.19,17.3,7.8,7.59,5.71875,17.5625,22.125,110.28125,160.25,354.28125,357.1875,436.125,478.09375
288.246063,288.246063,2.73E-06,14.19,19.41,8.36,9.71,6.21875,18.8125,22.875,111.375,159.4375,350.96875,354.28125,434.5,476.65625
284.828644,284.828644,1.13E-06,10.57,16.06,5.73,6.42,6.625,20.40625,24.75,117.46875,162.28125,348.34375,351.28125,432.3125,474.625
279.566803,279.566803,5.38E-14,6.13,6.58,5.59,2.32,6.40625,20.34375,25.71875,133.96875,171.6875,351.03125,351.0625,431.65625,472.8125
280.632141,280.632141,6.71E-08,7.23,8.66,5.96,3.36,6.03125,19.09375,24.40625,147.03125,180.9375,363.40625,358.625,434.5,472.5625
279.442108,279.442108,9.26E-08,5.63,8.09,2.99,0.84,5.8125,18.28125,23.28125,145.5625,191.875,383.3125,375.34375,443.15625,473.9375
280.783173,280.783173,5.05E-07,6.44,10,1.52,2.04,5.71875,18.03125,23.4375,137.96875,202.28125,406.25,397.59375,460.28125,478.3125
279.256653,279.256653,4.59E-08,5.9,8.56,3.44,3.11,5.59375,17.46875,22.84375,130.75,203.5625,423.25,418.375,485.4375,487.78125
279.682495,279.682495,2.45E-07,5.76,9.54,1.97,1.84,5.53125,17.15625,22.21875,123.15625,197.8125,425.5625,427.65625,511.34375,505.125
281.300659,281.300659,8.76E-07,7.55,11.04,2.06,0.94,5.46875,16.96875,21.8125,116.125,189.15625,414.96875,422.65625,525.59375,528.90625
279.376465,279.376465,1.48E-07,5.57,7.99,3.13,3.35,5.4375,16.8125,21.5,110.9375,180.03125,398.0625,408.5,522.9375,553.09375
278.912323,278.912323,3.63E-07,5.97,9.4,1.46,1.77,5.375,16.6875,21.34375,107.3125,171.28125,379.71875,390.78125,508.3125,568.3125
282.250977,282.250977,1.85E-06,8.26,12.7,1.51,2.52,5.5,17.9375,22.21875,104.90625,163.28125,362.25,372.84375,487.59375,568.21875
282.378723,282.378723,1.10E-06,8.25,12.84,4,3.65,6.75,21.9375,25.59375,105.5625,157.09375,347.09375,356.53125,465.53125,555.25
282.922882,282.922882,1.43E-06,9.92,15.39,3.25,5.59,11.75,32.8125,35.3125,113.25,155.4375,335.34375,343.03125,445.15625,535
285.439514,285.439514,2.03E-06,11.7,15.58,6.38,7.42,17.65625,45.90625,50.03125,134.59375,162.125,329.96875,334.1875,428.34375,512.4375
285.345398,285.345398,1.81E-06,12.88,16.88,8.54,8.46,22.15625,53.3125,59.4375,170.5625,173.40625,335.15625,333.875,417.40625,491.4375
285.719513,285.719513,1.41E-06,13.23,19,7.54,8.91,26.34375,61.9375,68.4375,208.8125,192.71875,350.46875,343.9375,415.65625,473.84375
288.135651,288.135651,4.24E-06,14.18,20.59,7.43,9.9,29.21875,71.3125,79.40625,266.1875,229.5625,376.65625,364.40625,425.0625,461.4375
290.711731,290.711731,5.13E-06,17.75,22.72,7.69,12.48,29.8125,73.4375,83.28125,350,287.875,424.15625,401.5,446.90625,456.46875
291.740753,291.740753,5.47E-06,17.78,23.54,11.7,13.38,30.1875,74.625,84.75,419.96875,376.03125,510.96875,472.75,488.90625,462.0625
291.124481,291.124481,4.68E-06,17.56,24.58,11.66,12.79,29.4375,72.09375,82.71875,452.34375,466.34375,638.46875,589.9375,569.4375,484.5625
288.572144,288.572144,2.74E-06,13.93,18.32,9.3,9.57,28.5625,68.96875,79.1875,448.125,521.03125,765.34375,724,701.5,538.28125
283.664429,283.664429,1.42E-07,9.78,11.18,8.56,7.03,28.125,69.71875,80.71875,445.375,548.78125,866.09375,834.875,863.8125,642.15625
285.558136,285.558136,8.74E-07,12.25,15.48,8.55,7.92,25.5,63.75,75.6875,445.25,557.4375,955.09375,926.75,1017.65625,792.5
285.603577,285.603577,9.96E-07,12.23,15.53,8.67,7.78,23.34375,58.8125,69.84375,421.5,548.4375,1008.375,993.46875,1128.6875,953.71875
283.557373,283.557373,2.96E-07,10.49,12.74,8.74,7.16,20.96875,53.1875,64.03125,397.4375,530.25,1011.84375,1012.34375,1186.5,1091.5312
283.80484,283.80484,5.94E-07,11.11,13.54,8.82,5.6,18.6875,47.5,57.46875,370,504.75,983.78125,993.625,1195.4688,1184
280.783051,280.783051,5.76E-14,8.45,9.75,6.7,3.39,16.65625,42.625,52.125,338.40625,478.875,942.0625,956.21875,1168.5625,1224.5938
281.651978,281.651978,2.19E-06,8.72,12.54,5.18,0.56,14.6875,37.59375,46.34375,307.40625,448.34375,897.25,913.8125,1125.3125,1223.5938
282.933899,282.933899,3.04E-06,9.45,14.69,3.77,3.12,12.9375,33.1875,40.9375,275.28125,411.375,841.84375,863.53125,1075.5,1195.9062
286.124847,286.124847,4.50E-06,12.62,18.38,4.6,6.22,12.6875,32.40625,38.6875,246.9375,374.125,777.4375,802.71875,1015.625,1153.25
289.0354,289.0354,5.97E-06,14.52,20.55,7.79,8.47,16,38.03125,42.5,229.0625,341.03125,712.46875,738.4375,946.84375,1099.75
291.957214,291.957214,6.14E-06,17.99,22.59,10.15,11.96,17.8125,42.40625,48.5625,231.96875,316.875,654.21875,678,876.75,1036.7188
286.249084,286.249084,2.65E-07,13.39,17.31,10.55,10.33,23.0625,57.78125,63.84375,257.59375,309.0625,613.125,630.1875,814.90625,969.5625
282.784851,282.784851,4.55E-07,9.96,13.18,4.01,6.68,23.71875,60.9375,71.1875,295.8125,319.53125,601.15625,606.25,773.1875,908.96875
285.68869,285.68869,3.28E-06,12.73,18.35,5.82,6.95,21.5625,55.09375,65.28125,304.40625,342.4375,623.4375,614.40625,758.125,858.625
288.084564,288.084564,6.42E-06,14.66,21.47,7.43,8.11,19.34375,49.34375,58.53125,285.0625,359.59375,668.15625,651.375,765.21875,822.59375
291.171051,291.171051,8.29E-06,17.06,24.23,8.95,10.42,17.25,44.75,53.3125,261.71875,354.625,702.46875,691.71875,790,806.5625
293.128754,293.128754,9.65E-06,19.24,26.62,12.11,13.13,15.3125,40.71875,49.1875,244.8125,334.71875,707.0625,707.71875,820.3125,811.25
294.303009,294.303009,1.04E-05,20.15,27.28,14.08,11.47,13.5625,36.84375,45.3125,235.65625,313.03125,694.53125,700.6875,836.6875,831.15625
295.810089,295.810089,1.23E-05,23.18,29.54,17.25,13.16,12.0625,33.375,41.375,226.96875,297.15625,685.0625,689.75,835.0625,853.125
289.728455,289.728455,7.79E-06,16.53,22.6,10.4,8.05,11.34375,32.0625,39.28125,213.0625,288.21875,687.6875,688.4375,828.34375,865.46875
285.409241,285.409241,6.54E-07,11.64,14.52,9.66,7.7,15.875,43.46875,48.8125,208.53125,291.5625,705.4375,700.4375,830.25,870.75
281.523224,281.523224,1.51E-08,9.15,11.06,6.89,5.7,16.84375,45.9375,54.71875,223.25,299.1875,745.1875,731.6875,855.125,878.3125
284.699921,284.699921,4.20E-06,10.52,15.49,4.28,5.24,15.71875,43.21875,52.15625,232.53125,301.15625,784.0625,772.40625,904.46875,895.5
287.764099,287.764099,5.63E-06,13.37,18.02,6.13,6.26,14.125,39,47.5,228.75,305.125,801.15625,797.28125,947.21875,927.6875
288.173615,288.173615,5.63E-06,14.79,19.67,9.77,7.23,13.78125,37.15625,44.5625,214.625,302.9375,796.03125,800.1875,963.65625,966.4375
289.152374,289.152374,2.51E-06,16.78,19.99,11.91,9.76,13.59375,36.03125,43.125,199.96875,292.1875,769.5625,781.6875,956.34375,993.25
285.930084,285.930084,2.11E-07,14.02,15.66,11.92,11.18,15.03125,40.59375,47.375,192.6875,283.71875,733.125,748.8125,933.46875,999.78125
287.887146,287.887146,2.36E-06,14.46,17.96,11.01,10.17,14.875,41.5625,50.4375,197.375,280.5625,704.15625,716.9375,903.78125,989.65625
286.34613,286.34613,6.74E-07,12.95,14.77,10.82,10.11,13.46875,38.3125,47.53125,201.78125,275.9375,679.875,691.375,874.3125,969.125
285.8638,285.8638,1.24E-06,11.8,14.19,10.65,8.17,17.9375,49.59375,57.6875,206.90625,281.40625,662,670.09375,846.03125,945.21875
285.524658,285.524658,8.17E-07,12.44,15.27,9.17,8.99,17.8125,50.25,62.125,230.1875,293.5625,664.875,664.59375,824.5625,923.78125
286.616974,286.616974,2.88E-06,14.17,17.33,10.52,8.82,17.03125,46.46875,57.3125,234.71875,301.6875,677.65625,674.8125,819.0625,904
289.193817,289.193817,6.63E-06,15.09,20.01,9.18,9.18,15.9375,43.09375,53.15625,220.75,308.28125,681.21875,682.03125,821.90625,887.75
291.873138,291.873138,8.45E-06,17.73,22.12,11.51,11.48,14.25,38.75,48.0625,203.15625,302.65625,671.1875,677.34375,820.25,878.75
287.71701,287.71701,3.70E-07,14.17,14.98,13.04,11.76,13.78125,37.6875,46,188.90625,289.46875,649.40625,660.53125,811.9375,877.09375
287.315033,287.315033,1.23E-06,13.5,14.68,11.43,11.92,12.78125,35.8125,44.28125,185.71875,285.375,636.53125,644.09375,805.5,884.96875
287.466339,287.466339,3.43E-06,14.97,19.8,9.98,10.41,14.6875,42.15625,50.5,194.59375,292.71875,657.1875,651.3125,813.0625,896.65625
291.349854,291.349854,5.74E-06,17.25,21.91,11.91,12.48,14.21875,41.78125,52.59375,219.40625,301,705.625,689.875,835.34375,904.3125
291.768036,291.768036,4.77E-06,17.59,21.93,15.12,13.93,12.6875,37.40625,47.53125,229.40625,306.53125,743.75,733.6875,869.96875,913.0625
290.482941,290.482941,1.31E-06,16.57,19.48,14.1,14.14,12.125,35.46875,44.375,221.4375,315.125,756.4375,755.3125,901.46875,932.4375
289.005402,289.005402,4.25E-06,15.01,21.12,9.85,10.57,13.5625,40.3125,49.21875,214.4375,318.34375,757.59375,760.09375,915.1875,958.78125
285.423126,285.423126,1.40E-07,11.3,13.21,9.66,9.13,13.15625,39.6875,50.1875,217.125,315.78125,756.71875,760.4375,919.3125,983.125
284.419495,284.419495,1.11E-06,11.83,14.25,9.08,7.6,12.75,40.46875,51.5625,218.5,320.3125,764.96875,765.53125,928.84375,1005.0625
286.534271,286.534271,4.45E-06,13.25,15.97,8.59,8.03,13.03125,40.90625,51.875,219.9375,326.1875,789.53125,784.9375,950.21875,1022.15625
289.560333,289.560333,7.09E-06,16.08,19.53,11.15,10.17,15.46875,44.90625,54.625,216.71875,323.71875,802.03125,802.78125,971.25,1035.0312
290.281128,290.281128,3.77E-06,16.7,20.35,13.99,12.14,15.46875,44.53125,55.28125,218.6875,317.1875,793.1875,800.96875,979.84375,1047.5
288.23819,288.23819,1.02E-06,15.45,19.78,11.09,12.59,14.09375,40.625,50.8125,215.625,308.125,773.21875,784.28125,973.0625,1057.5312
293.604645,293.604645,7.72E-06,19.67,23.24,13.9,14.96,12.625,36.78125,46.03125,204.96875,300.375,752.6875,763.25,953.6875,1057.4688
291.812866,291.812866,1.17E-06,18.02,19.47,15.35,16.26,16.34375,46.34375,54.625,202.40625,301.78125,745.71875,750.8125,932.6875,1047.6562
291.703613,291.703613,8.88E-06,19,23.72,13.41,11.29,27.8125,74.40625,86.59375,246.65625,320.0625,771.46875,763.28125,926.875,1035.5
285.916779,285.916779,3.16E-07,12.43,13.76,9.56,10.31,29.78125,78.90625,97.3125,336,351.21875,838.96875,815.96875,954.59375,1027.0312
290.97876,290.97876,9.87E-06,17.09,20.96,12.23,10.4,27.15625,71.375,88.8125,370.21875,403.78125,932.25,901.8125,1018.15625,1035.125
289.415985,289.415985,3.63E-06,16.61,19.11,13.69,11.08,24.28125,63.5625,79.25,353.96875,452.84375,1021.03125,995.34375,1097.7812,1070.125
289.337677,289.337677,3.94E-06,15.58,19.73,11.87,11.76,24.53125,64.125,78.25,332.4375,464.46875,1061.9062,1054.0625,1174.5625,1132.25
290.715912,290.715912,1.09E-05,17.18,22.69,11.23,11.25,22.71875,59.78125,74.34375,325.625,450.8125,1057.7188,1062.5312,1220.75,1204.8438
292.617676,292.617676,1.63E-05,19.28,24.59,14.28,12.69,20.34375,53.25,66.40625,308,429.3125,1038.0312,1046.9375,1228.0938,1261.8125
294.809662,294.809662,1.90E-05,21.58,26.76,16.72,14.47,18.21875,47.6875,59.4375,281.28125,406.25,1012.96875,1023.875,1208.375,1285.4375
296.524292,296.524292,1.94E-05,23.65,29.18,18.46,15.71,16.25,42.78125,53.40625,254.90625,377.875,974.09375,990.28125,1175.375,1277.7812
295.579254,295.579254,1.21E-05,22.98,27.82,18.31,17.77,15.65625,39.90625,49.03125,231.71875,349.28125,922.5,942.6875,1132.8438,1250.7188
296.677032,296.677032,1.64E-05,23.36,28.33,17.61,18.75,14.46875,36.9375,45.5,213.3125,323.09375,874.90625,893.3125,1082.5312,1211.9062
298.937897,298.937897,2.35E-05,26.54,31.21,21.77,17.59,13.03125,33.625,41.4375,197.46875,298.8125,836.40625,851.78125,1031.5,1164.5
297.194916,297.194916,8.27E-06,23.74,26.94,20.76,20.82,11.78125,31.28125,38.5625,185.125,283.90625,809.9375,821.65625,988.9375,1116.1875
296.285919,296.285919,1.01E-05,23.79,28.88,19.27,19.35,17.3125,53.875,59.9375,185.25,282.71875,804.375,809.0625,965.25,1081.4062
298.086853,298.086853,2.39E-05,25.02,31.09,16.1,17.82,17.71875,58.6875,71.9375,211.65625,280.75,824.78125,820.34375,970.6875,1062.75
289.226837,289.226837,1.10E-06,16.96,17.77,15.97,13.71,19.71875,62.875,76,234.71875,282.03125,872.125,859.03125,1007.40625,1070
291.540985,291.540985,4.56E-06,18.17,20.36,16.17,14.39,18.90625,59.6875,74.15625,254.5625,297.09375,955.90625,935.34375,1067.75,1113.5
293.495148,293.495148,8.22E-06,19.71,23.4,16.52,15.37,17,53.34375,66.59375,256.1875,317.625,1029.0938,1016.46875,1150.9688,1182.25
292.414154,292.414154,8.72E-06,19.15,23.06,14.74,14.05,15.15625,47.5,59.40625,245.8125,333.9375,1061.8125,1057.2188,1218.7188,1264.5625
291.052673,291.052673,3.21E-06,17.27,19.97,15.21,14.33,13.5,42.34375,53.03125,230.84375,335.625,1102.5,1092.9375,1254,1336.2188
293.962341,293.962341,1.08E-05,20.15,23.6,18.02,16.07,12.03125,37.84375,47.4375,214.625,323.53125,1144.5625,1138.4375,1287.0312,1379.9062
291.558777,291.558777,1.65E-06,18.81,20.42,17.15,16.27,11.0625,34.625,43.15625,200.03125,305.0625,1135.875,1144.3438,1313.6875,1410.3438
291.304108,291.304108,2.23E-06,18.13,19.58,16.28,16.11,11.25,35.4375,43.125,189.09375,287.5625,1090.125,1105.3438,1300.6875,1433.8125
291.596985,291.596985,2.26E-06,17.35,18.55,16.21,15.38,11.65625,36.375,44.6875,184.6875,272.3125,1044.75,1059.0312,1254.625,1428.9062
293.064575,293.064575,5.17E-06,19.77,23.28,17.43,16.67,11.28125,35.03125,43.4375,189.09375,264.03125,1024.3125,1030.6562,1206.9375,1391.625
293.2146,293.2146,4.34E-06,19.43,22.24,16.99,16.67,11.4375,35.875,43.8125,195.09375,268.65625,1050.125,1045.5312,1187,1345.9688
294.883972,294.883972,1.28E-05,21.65,25.45,17.65,16.08,11.46875,36.1875,44.5,199.90625,277.90625,1085.75,1079.1875,1205.4375,1318.6875
294.890717,294.890717,1.84E-05,20.45,24.36,16.35,13.99,12.78125,40.125,48.09375,203.25,280.6875,1119.8125,1113.4375,1237.7188,1318.6875
290.528748,290.528748,5.50E-07,17.19,17.95,16.45,15.48,12.53125,39.25,48.375,208.5,284.5625,1155.25,1148.9062,1275.25,1340.125
291.854767,291.854767,1.70E-06,17.88,19.1,16.81,16.18,11.4375,35.875,44.4375,208.15625,285.84375,1190.1562,1184.8125,1317,1381.6562
292.141968,292.141968,3.42E-06,18.72,21.09,16.16,16.59,13.1875,40.09375,47.40625,203.625,288.71875,1202.5938,1203.0625,1349.2188,1430
294.370911,294.370911,1.85E-05,21.07,26.42,15.84,15.55,13.03125,40.1875,49.0625,213.09375,288.75,1196.3438,1200.25,1356.625,1460.3125
297.140686,297.140686,2.87E-05,23.22,29.3,17.08,17.48,11.75,36.28125,44.75,221.375,283.90625,1186.4062,1191.875,1347.7188,1463.5312
299.331635,299.331635,3.59E-05,26.92,31.92,22.75,19.3,10.625,32.8125,40.4375,215.5625,282.53125,1172.625,1179.5625,1332.0625,1450.7188
297.626129,297.626129,2.47E-05,24.86,29.85,20.92,18.48,9.75,30.09375,37.0625,204.1875,281.9375,1155.3125,1163.5,1311.9688,1433.4062
293.550293,293.550293,1.51E-06,20.92,22.25,19.09,19.17,12.71875,45.84375,53.59375,203.59375,289.15625,1151.625,1156.2812,1304.8125,1422.125
293.722961,293.722961,6.05E-06,21.03,24.38,18.17,18.07,15.09375,55.15625,68.5625,240.96875,305.03125,1188.4062,1180.4062,1332.7188,1434.4375
295.430115,295.430115,8.70E-06,22.28,25.85,18.05,18.73,14.5,52.0625,66.40625,272.84375,319.1875,1242.75,1232.5,1395.25,1465.625
297.435364,297.435364,1.84E-05,24.36,28.14,20.93,20.36,13.03125,46.40625,59.5,268.375,338.90625,1278.2188,1274.3438,1464.125,1511.5625
297.720001,297.720001,1.30E-05,24.21,26.24,21.86,21.63,11.65625,41.34375,53,249.65625,348.46875,1291.7812,1294.5938,1501.6875,1568.2812
292.554626,292.554626,5.02E-06,20.11,22.1,18.55,16.86,15.6875,57.375,70.28125,275.5625,358.0625,1287.1875,1292.7812,1510.5625,1619.1875
291.238678,291.238678,2.66E-06,18.89,19.99,17.57,17.63,23.1875,82.625,102.5,476.46875,432.625,1363.875,1336.0625,1519.6875,1653.5312
291.671448,291.671448,3.31E-06,19.53,22.89,16.97,16.6,24.46875,85.75,110.375,688.375,618.75,1683.4062,1587.25,1630.7812,1691.9688
294.623962,294.623962,1.78E-05,21.81,25.7,17.02,17.05,22.625,78.25,101.625,693.15625,818.53125,2109.1875,2018.5938,1970.125,1803.2188
296.76001,296.76001,2.29E-05,23.52,27.3,19.72,18.24,20.375,70.09375,91.15625,624.8125,860.78125,2274.7812,2261.5312,2367.6562,2091.5
295.36142,295.36142,9.70E-06,23.12,26.91,19.24,18.2,18.40625,63.28125,82.375,552.84375,799.84375,2179.8438,2218.0938,2515.25,2451.7188
292.954712,292.954712,2.93E-06,20.88,21.94,19.35,18.29,17.15625,61,80.21875,502.5,727.96875,2014.6562,2058.1562,2424.2812,2624.25
293.351288,293.351288,3.67E-06,20.7,22.57,19.34,18.27,17.875,65.46875,86.15625,497.125,699.15625,1924.0312,1941.9375,2276.5,2585.2812
295.03656,295.03656,1.90E-05,22.65,26.6,17.46,18.58,19.96875,69.40625,90.71875,505.09375,705.875,1926.9688,1923.4375,2201.875,2462.4688
296.073792,296.073792,1.99E-05,22.01,24.62,19.12,19,19.875,66.09375,87.09375,494.78125,706.3125,1947.375,1944.3438,2206.5312,2363.2812
296.404999,296.404999,1.74E-05,21.97,24.66,19.91,18.96,18.34375,59.875,79.0625,461.46875,686.09375,1952.7812,1958.3125,2229.375,2337.5938
294.000153,294.000153,2.67E-06,20.45,22,18.63,19,16.46875,53.625,70.90625,420.15625,647.59375,1916.4688,1933.5625,2225.75,2356.7812
293.629486,293.629486,5.27E-06,20.62,23.02,17.58,18.82,14.96875,48.65625,64.1875,381.9375,603.46875,1845.625,1870.9062,2183.625,2367.6875
295.165466,295.165466,1.65E-05,21.09,24.74,17.68,18.18,13.875,45,58.90625,348.8125,560.21875,1759.6562,1787.9062,2109.5,2336.25
296.984894,296.984894,2.96E-05,23.4,27.89,19.17,18.43,12.625,41.03125,53.78125,317.90625,512.71875,1657.2188,1690.6562,2012.8438,2264.7812
298.958344,298.958344,3.34E-05,24.77,28.8,19.56,20.4,11.34375,37.3125,48.8125,288.65625,467.4375,1539.0938,1575.875,1895.5625,2165.7188
297.575317,297.575317,1.78E-05,25.22,30.75,19.18,20.92,10.59375,35.78125,46.4375,261.875,425.71875,1418.875,1456,1762.875,2045.5
299.474579,299.474579,3.78E-05,25.67,30.86,20.15,20.93,10,34.78125,44.9375,239.59375,388.15625,1305.4062,1340.6875,1628.9062,1909.875
301.070496,301.070496,4.24E-05,28.43,32.3,24.08,22.87,9.34375,32.625,42.28125,220.9375,356.21875,1205.5625,1237.9688,1505.7812,1772.125
299.481476,299.481476,2.67E-05,25.66,30.3,22.78,22.11,9.09375,30.9375,39.71875,204.28125,329.9375,1119.125,1148.6875,1401.4062,1656.5938
298.05423,298.05423,1.82E-05,25.07,29.1,20.83,21.32,8.84375,29.46875,37.75,191.5625,306.84375,1055.375,1077.6875,1312.1875,1560.7188
298.157898,298.157898,2.47E-05,25.66,29.81,21.1,22.19,8.5625,28.5,36.40625,182.59375,285.8125,1028.5938,1040.9375,1241.5625,1470.4375
299.958862,299.958862,3.29E-05,27.67,31.23,23.54,21.87,8.40625,28.0625,35.8125,176.375,271.5625,1007.84375,1019.40625,1198.2812,1392.8125
296.952606,296.952606,4.93E-06,24.63,28.73,21.88,22.69,8.28125,27.6875,35.28125,172.21875,262.96875,978.03125,990.0625,1169.4375,1334.2812
298.21756,298.21756,1.84E-05,25.31,28.98,21.4,21.72,8.21875,27.34375,34.75,168.625,253.375,947,959.15625,1143.5,1286.6875
298.147034,298.147034,1.37E-05,25.13,27.44,23.29,22.88,8.15625,27.125,34.4375,165.65625,244.9375,910.375,925.09375,1113.7188,1245.3125
297.567963,297.567963,7.35E-06,25.98,29.55,23.79,22.79,8.1875,27.28125,34.6875,164.25,241.1875,873.6875,888.34375,1079.5,1210.9375
297.063965,297.063965,5.41E-06,25.34,27.33,23.45,23.19,8.21875,27.78125,35.5,165.90625,244.5,850.875,860.5,1049.4375,1178.5312
298.260773,298.260773,1.24E-05,25.11,27.17,23.36,22.96,8.28125,28,35.75,173.28125,250.84375,846.71875,849.75,1031.25,1151.0312
299.489655,299.489655,1.32E-05,25,27,23.73,23.21,10.453125,30.5,38.0625,180.625,255.51562,845.0469,847.625,1026.5781,1129.2812
300.917175,300.917175,2.15E-05,28.11,31.93,25.38,24.83,14.171875,37.984375,45.9375,190.92188,266.79688,844.5781,845.3281,1026.1406,1113.9375
